dataset,tasks,concurrency
swe-bench/swe-bench-verified,500,500
terminal-bench/terminal-bench-2-1,89,89
gaia/gaia,165,165
stanford/medagentbench,300,300
xlang-ai/osworld-verified,361,361
terminal-bench/terminal-bench-3,75,75
terminal-bench-pro/terminal-bench-pro,200,200
theagentcompany/theagentcompany,174,174
arcprize/arc-agi-2,167,167
datacurve/deep-swe,113,113
futurehouse/bixbench,205,205
gpqa-diamond/gpqa-diamond,198,198
aider/aider-polyglot,225,225
scale-ai/swe-bench-pro,731,500
openai/swe-lancer-diamond-all,463,463
bigcode/bigcodebench-hard-complete,145,145
scienceagentbench/scienceagentbench,102,102
usaco/usaco,304,304
algotune/algotune,154,154
